Post_ID,Project,Title,Content,Content_Type,Platforms,Scheduled_Date,Scheduled_Time,Hashtags,Media_Type,CTA,Link_URL,Status,Approval_Status,Notes
AFAQ-001,AFAQ,"What is Tahawwur?","Tahawwur (تحول) refers to spiritual transformation in Islam. It's the journey of becoming closer to Allah through intentional change. Did you know this concept shapes our faith journey?","Educational","Instagram;Twitter;LinkedIn",2026-02-10,09:00 AM,"#AFAQ #IslamicKnowledge #SpiritualGrowth #Tahawwur #QandA","Image","Share your personal transformation story in the comments!","https://afaq.example.com/tahawwur-guide","Draft","Pending","Week 1 - Monday morning post"
AFAQ-002,AFAQ,"Five Pillars Explained: Salah","Salah (الصلاة) - the second pillar of Islam - is more than just prayer. It's a direct connection between you and the Almighty. Let's explore its beauty and importance together.","Tutorial","Facebook;Instagram;Twitter",2026-02-10,12:00 PM,"#AFAQ #FivePillars #Salah #IslamicTeaching #Faith","Video","What's your favorite time to pray? Let us know below!","https://afaq.example.com/salah-guide","Draft","Pending","Mid-day engagement post"
AFAQ-003,AFAQ,"Hadith of the Day: Kindness","The Prophet Muhammad (PBUH) said: 'Kindness is not a sign of weakness, it is a sign of strength.' In a world that often rewards harshness, let's remember the power of compassion.","Inspirational","Instagram;Twitter;Threads",2026-02-10,06:00 PM,"#AFAQ #Hadith #Kindness #IslamicWisdom #Prophet","Text","How do you practice kindness in your daily life?","https://afaq.example.com/hadith-kindness","Draft","Pending","Evening engagement post"
AFAQ-004,AFAQ,"Women in Islam: Breaking Stereotypes","From Khadija, the first business woman, to Fatima's wisdom - Islam has a rich legacy of empowered women. Let's celebrate and learn from their inspiring stories.","Community","Instagram;Facebook;LinkedIn",2026-02-11,09:00 AM,"#AFAQ #WomenInIslam #IslamicHeroes #Empowerment #Community","Carousel","Tell us about a Muslim woman who inspires you!","https://afaq.example.com/women-in-islam","Draft","Pending","Week 1 - Tuesday morning"
AFAQ-005,AFAQ,"Zakat: The Art of Giving","Zakat (الزكاة) isn't just charity - it's one of Islam's Five Pillars. It purifies wealth, strengthens community, and teaches us the true meaning of generosity.","Educational","Twitter;LinkedIn;Instagram",2026-02-11,12:00 PM,"#AFAQ #Zakat #IslamicPillars #Charity #Community #Generosity","Image","What's the most meaningful charity you've ever given?","https://afaq.example.com/zakat-guide","Draft","Pending","Mid-day post"
AFAQ-006,AFAQ,"Dua for New Beginnings","Starting a new chapter? Try this powerful dua: 'Allahumma barik lana fi jameeina' - 'O Allah, bless us in all of us.' Perfect for new projects, jobs, or relationships.","Inspirational","Instagram;Twitter;Facebook",2026-02-11,06:00 PM,"#AFAQ #Dua #NewBeginnings #IslamicPrayers #Faith","Text","What new beginning are you embarking on?","https://afaq.example.com/dua-new-beginnings","Draft","Pending","Evening prayer post"
AFAQ-007,AFAQ,"Islamic Art: Beauty in Geometry","Islamic geometric patterns represent infinity and divine unity. From Al-Alhambra to modern mosaics, discover how Islam celebrates math, art, and spirituality.","Educational","Instagram;Pinterest;LinkedIn",2026-02-12,10:00 AM,"#AFAQ #IslamicArt #Geometry #Culture #Spirituality #Mathematics","Image","Which Islamic art pattern speaks to your soul?","https://afaq.example.com/islamic-art","Draft","Pending","Week 1 - Wednesday"
AFAQ-008,AFAQ,"Ramadan Preparation Tips","Ramadan is only 3 months away! Start preparing now with: intention setting, Quran reading practice, and physical preparation. Ready to level up your Ramadan?","Community","Twitter;Instagram;Facebook",2026-02-12,01:00 PM,"#AFAQ #Ramadan #Preparation #IslamicMonth #Spirituality #Ummah","Text","What's your Ramadan goal for this year?","https://afaq.example.com/ramadan-prep","Draft","Pending","Afternoon engagement"
AFAQ-009,AFAQ,"Understanding Hijab: Beyond Fashion","Hijab is a spiritual statement, not a restriction. It's about modesty, dignity, and expressing faith. Let's discuss what it truly means in Islam.","Educational","Instagram;Twitter;LinkedIn;Threads",2026-02-12,06:00 PM,"#AFAQ #Hijab #IslamicFashion #Modesty #Empowerment #Women","Image","How has your relationship with hijab evolved?","https://afaq.example.com/hijab-guide","Draft","Pending","Evening discussion"
AFAQ-010,AFAQ,"Q&A Compilation: Your Top Questions","This week's top 10 questions from you! From Islamic finance to interfaith relationships, we answered everything. Read the full compilation on our blog.","Community","Facebook;Instagram;Twitter",2026-02-12,09:00 PM,"#AFAQ #QandA #Community #IslamicQA #WeeklyRoundup","Text","What question should we tackle next week?","https://afaq.example.com/qa-compilation-week1","Draft","Pending","Night engagement"
